"","D3400/05","D4182/05","D4909/05","D5251/05","D1802/05","D2004/05","D2060/05","D2198/05","D3692/05","D4974/05","D324/06","D516/06","D2470/05","D131/06","D1945/05","D4387/05","D5131/05","D5197/05","D5238/05","D939/06","D2401/05","D2541/05","D3866/05","D2723/05","D2897/05","D3310/05","D3383/05","D4229/05","D5250/05","D14/06","D25/06","D282/06","D2267/05","D794/06","D1143/06","D1777/05","D2347/05","D3302/05","D1699/05","D2588/05","D3802/05","D4003/05","D4294/05","D4325/05","D4326/05","D34/06","D132/06","D775/06","D883/06","D1833/05","D4977/05","D252/06","D1881/05","D2271/05","D2831/05","D3714/05","D3998/05","D4083/05","D5151/05","D895/06","D1126/06","D2520/05","D3542/05","D3584/05","D4557/05","D1080/06","D2597/05","D3363/05","D3493/05","D3520/05","D4399/05","D4477/05","D308/06","D384/06","D1587/05","D2223/05","D2467/05","D977/06","D2046/05","D2203/05","D3687/05","D4115/05","D4754/05","D5303/05","D5349/05","D5382/05","D5386/05","D431/06","D1043/06","D1595/05","D1716/05","D3890/05","D3893/05","D4383/05","D5387/05","D133/06","D1102/06","D3879/05","D4737/05","D5381/05","D36/06","D918/06","D1130/06","D3616/05","D5297/05","D5323/05","D887/06","D2090/05","D4055/05","D271/06","D2013/05","D2896/05","D3252/05","D3820/05","D4677/05","D425/06","D1903/05","D4813/05","D137/06","D454/06","D1726/05","D1954/05","D2018/05","D3380/05","D3690/05","D4499/05","D436/06","D1949/05","D2156/05","D2592/05","D2835/05","D4936/05","D711/06","D743/06","D1068/06","D3060/05","D3837/05","D4392/05","D1635/05","D2128/05","D2383/05","D4654/05","D1614/05","D2551/05","D2803/05","D3860/05","D4051/05","D603/06","D1717/05","D1811/05","D2775/05","D3622/05","D4053/05","D4106/05","D5177/05","D5281/05","D217/06","D654/06","D1818/05","D2021/05","D3642/05","D4449/05","D837/06","D931/06","D2989/05","D4250/05","D689/06","D1039/06","D3142/05","D4606/05","D78/06","D435/06","D2417/05","D2594/05","D3053/05","D3526/05","D3544/05","D3736/05","D4149/05","D5155/05","D254/06","D288/06","D4084/05","D4605/05","D4948/05","D5179/05","D5227/05","D5257/05","D214/06","D375/06","D2135/05","D2653/05","D3284/05","D4673/05","D5027/05","D668/06","D994/06","D2325/05","D2828/05","D2914/05","D2934/05","D3061/05","D4546/05","D1166/06","D2969/05","D3680/05","D3688/05","D3705/05","D3872/05","D4082/05","D4432/05","D2548/05","D4390/05","D4490/05","D4826/05","D624/06","D2020/05","D5107/05","D840/06","D1704/05","D2280/05","D2348/05","D2529/05","D2655/05","D3241/05","D4132/05","D4207/05","D5391/05","D671/06","D926/06","D1091/06","D1795/05","D1929/05","D2207/05","D3613/05","D4340/05","D4409/05","D5144/05","D463/06","D605/06","D2675/05","D3347/05","D3807/05","D4735/05","D4963/05","D879/06"
"3039","15.87237","13.82474","14.18077","13.52974","13.33958","14.04833","13.86803","15.57266","14.14730","13.54847","14.25246","13.78283","13.37981","13.28038","13.64918","13.32675","14.36440","14.03264","14.14739","13.63605","13.36512","14.52123","13.52716","14.24947","13.68109","13.34663","13.63085","13.99308","13.58130","13.56644","14.09479","13.71712","13.96353","13.39374","13.78784","13.71699","14.05032","13.89631","13.42316","14.16169","14.80398","13.63827","13.51864","13.65757","14.20460","14.06948","13.36122","13.74283","13.71748","14.81585","13.63814","13.44607","13.87389","14.15869","13.14737","13.88960","13.93100","13.38377","13.74556","13.78121","13.48793","13.55376","14.09150","13.69499","14.31601","14.29575","14.12976","13.94244","13.78285","13.62050","13.35782","14.32350","13.31363","13.40385","14.75315","13.80411","13.78964","14.46437","13.84187","13.66603","14.12103","13.58163","13.60541","13.42086","14.01019","14.62050","13.80996","15.05361","13.57518","13.35752","13.87676","14.09200","13.74879","13.68751","14.66925","14.54048","14.43504","13.82389","13.20448","13.56607","13.69446","13.50085","13.45914","14.28679","13.93240","13.75720","13.87914","13.52214","13.54041","13.61388","13.75394","13.86440","14.20916","14.42955","13.82977","13.57145","13.34890","14.59598","13.39920","13.72877","13.68955","13.70023","14.46590","14.86657","13.74530","13.64973","13.50153","13.95393","14.89464","13.49940","14.01356","13.69651","13.79139","13.47250","13.91293","13.88753","13.97702","14.60030","13.38998","14.18711","13.85999","14.27100","13.67657","13.93353","13.85127","13.69854","13.78566","14.14271","14.13513","13.82242","14.08820","14.05824","13.60569","13.95640","13.39330","13.74361","13.67546","13.62550","14.53288","14.32941","13.64534","13.87104","13.92761","13.52865","13.88519","14.13144","13.55687","13.56147","13.87049","13.46750","13.67779","13.31366","13.84013","14.55448","13.41339","14.07795","13.82410","13.69753","13.63383","13.52428","15.92234","14.15334","13.55200","13.81713","13.70921","13.23973","13.71941","14.64471","13.37894","13.57293","13.83325","13.77380","13.89858","13.38562","13.68410","13.50332","13.66171","13.75081","13.65474","13.84208","13.45488","13.26225","13.61002","13.89445","13.93268","14.08715","13.62665","13.94122","13.86278","15.08486","13.67023","13.49930","13.71989","13.73535","14.13361","13.86729","13.56177","13.53696","13.92519","13.52316","15.40565","13.95314","14.21100","14.18714","13.38397","13.52169","14.95639","14.01020","13.88954","13.67393","13.80003","13.70694","13.93772","13.94336","13.29137","13.38259","15.73325","13.62072","13.27194","13.39966","13.42323","14.58050","14.95535","13.91877","14.06762","13.23467"
"3043","16.43855","14.15204","14.75316","13.97779","13.78689","14.58601","14.35238","16.19671","14.80860","14.24317","14.53988","14.28160","13.79008","13.92039","14.04616","13.77974","14.90293","14.56592","14.79579","14.30094","13.80407","15.10847","14.13176","14.88781","14.04207","14.11862","14.00561","14.47482","13.80442","13.93455","14.60924","14.36056","14.59016","14.04510","14.24157","14.06680","14.58663","14.58901","13.82199","14.66363","15.35637","14.17371","13.91773","14.02224","14.85362","14.86848","13.77896","14.27970","14.26856","15.36485","14.13010","13.85035","14.14706","14.50156","13.74050","14.46372","14.74041","14.11827","14.17932","14.20183","14.09032","13.88813","14.59833","14.17676","15.04605","14.69579","14.74994","14.40973","14.45316","14.12365","13.90316","14.92024","13.89135","14.02444","15.42332","14.46383","14.28900","15.14748","14.35393","14.31757","14.68570","13.93605","13.97504","13.64709","14.40884","15.13227","14.06996","15.54447","14.24091","13.79843","14.38793","14.63775","14.19510","13.96582","15.40128","15.22623","15.00203","14.18592","14.02807","14.05425","14.23036","14.19184","13.90478","14.92139","14.46670","14.25583","14.27050","14.00826","14.11376","13.91095","14.40854","14.24439","14.66322","14.84372","14.28607","14.08560","13.97702","15.58097","14.08999","14.22040","14.05877","14.05132","15.14947","15.38378","14.16732","14.05497","13.86040","14.47388","15.41375","13.86107","14.55054","14.29549","14.21907","13.94809","14.16160","14.43912","14.52530","15.26498","13.74966","14.91409","14.47861","14.83454","14.15128","14.63860","14.35635","14.37417","14.41627","14.63571","14.74610","14.48328","14.75596","14.58168","14.06373","14.60056","13.88468","14.13785","14.14593","14.28651","15.28883","14.83795","14.14941","14.29004","14.50017","14.17149","14.45575","14.72767","14.14092","14.17616","14.30314","14.05990","14.07875","13.81580","14.13965","15.14960","13.88716","14.47366","14.52282","14.07136","14.03790","13.78044","16.88060","14.66306","14.01514","14.52622","14.06247","13.73727","14.26877","15.14920","13.87634","14.06411","14.17261","14.28425","14.38839","13.86463","14.03783","14.02724","14.15403","14.17669","14.11050","14.82246","13.93556","13.72560","13.95696","14.43534","14.52527","14.45171","14.13831","14.25782","14.44638","15.54384","14.03551","13.91658","14.07481","14.36339","14.80497","14.37229","14.28323","14.07410","14.26181","14.12726","16.19715","14.47954","14.73719","14.87333","14.06934","14.00041","15.26473","14.26414","14.50058","14.37144","14.43681","14.11180","14.65452","14.48740","13.69245","13.65353","16.61618","14.04911","13.76620","13.74163","14.00112","15.37118","15.68346","14.42105","14.49364","13.71926"
"3045","14.17756","13.51495","14.11249","13.46042","13.84465","13.89188","13.55897","14.14198","13.63358","13.33789","13.49254","13.51023","13.43581","13.52126","13.55448","13.34004","13.80990","13.78844","13.78281","12.96476","13.55957","13.94768","13.66675","14.03942","13.84922","14.10481","13.34772","13.74190","13.88147","14.05127","13.19484","13.42317","13.49511","14.03764","13.53739","13.86545","13.97576","13.50177","13.90807","14.01125","13.67503","13.99377","13.65744","13.23502","13.95993","13.56211","13.22475","14.04087","13.54579","13.26581","13.11180","13.16152","13.66870","13.49901","13.24439","13.64261","13.37582","13.75487","13.56245","13.52861","13.88036","13.21934","13.50991","13.64059","13.68384","13.52683","13.53224","13.55682","13.96667","13.85445","13.42743","13.74949","13.26970","13.70541","13.88457","13.76001","14.11897","13.85651","13.76298","13.82035","13.42185","13.28782","14.12951","13.52193","13.29957","14.16810","13.73021","13.99941","13.28964","13.23059","13.56001","13.61158","13.34076","13.84321","13.70532","13.67772","13.63764","13.92803","13.79399","13.45240","13.60767","13.08818","13.49682","13.89010","13.58099","13.49598","13.60680","13.52027","13.52173","13.60121","13.79239","12.96263","13.95986","13.70091","13.52687","13.83886","13.10297","14.42989","13.89897","13.34068","13.60475","13.83603","13.77984","13.65637","13.51510","13.95290","13.84545","13.70512","13.41500","13.57375","13.29559","13.75866","13.57722","13.44050","13.76269","13.76975","13.73590","13.82984","13.17580","13.83898","13.73255","13.67541","13.14610","14.04692","12.99281","13.89616","13.50513","13.77806","13.47354","13.54277","13.73811","13.49017","13.45006","13.82155","13.45527","13.29690","13.72448","14.00651","13.54780","13.73482","13.34839","13.46501","14.10870","13.44772","13.50660","13.62156","13.91564","14.10463","13.78037","13.55151","13.23124","13.73373","13.25437","13.54369","13.63671","13.67510","13.41517","13.93792","13.28408","13.33870","14.27897","13.14148","13.59547","13.24692","13.10875","13.39048","13.77493","13.78108","13.65696","13.74194","13.85224","13.59331","13.54841","13.42323","13.61314","14.06947","13.77592","13.92637","13.49996","14.21391","13.74045","13.18596","13.23686","12.92821","13.63064","13.42570","13.79766","13.35475","13.47359","13.41142","13.65086","13.44455","13.25865","13.89304","13.55761","13.46497","13.74329","13.44167","13.79374","13.49599","14.17517","13.76088","13.50437","13.84491","13.47251","13.47049","13.68578","13.90173","13.27415","13.64865","13.64403","13.89041","14.04798","13.89203","13.18054","13.81149","14.04528","13.70684","13.04857","13.34651","13.52696","13.70271","13.94451","13.77052","13.35938","13.39426"
"3053","13.66088","14.08800","13.75636","13.96498","14.34357","13.60321","14.14483","13.92902","14.23892","14.17938","13.89943","14.04198","14.01955","14.25499","14.16202","14.20541","14.01866","13.92614","14.19219","14.13564","14.17195","14.12451","14.14911","13.89921","14.07511","14.31798","14.12157","14.17897","14.11521","14.22570","14.18729","14.01806","14.16642","13.89707","14.17869","14.02385","14.09715","14.02906","13.87744","13.83597","13.80586","13.87032","14.06045","14.19234","13.84201","13.97182","14.19649","14.02083","14.14390","14.32646","14.18965","14.23402","13.87782","13.99639","13.97220","14.12117","13.98060","13.84511","14.22136","13.91998","14.13956","14.24085","13.86641","14.05592","14.01262","14.06233","14.18622","14.34449","13.87851","13.90913","14.02774","14.13214","14.03686","14.17040","14.13651","14.07519","14.21578","14.23490","14.17710","14.03756","14.10970","14.30586","14.10388","14.28168","14.53612","13.99109","13.93165","13.73546","14.18612","14.06239","14.23283","14.25495","14.52522","14.12865","13.85574","14.09066","14.05883","14.13257","13.91390","13.82617","13.99980","14.34613","14.18098","14.07253","14.21177","14.23262","14.00554","14.00669","14.06879","13.80422","14.24987","13.91014","14.24778","14.21220","13.82598","13.76267","14.16096","14.22299","13.92051","14.20725","14.26336","14.18422","14.43328","14.09024","14.19223","13.78022","14.19160","13.86397","14.00529","13.84014","14.06059","13.84416","13.94374","14.19226","14.02069","14.03663","13.62696","13.98812","14.16869","13.80563","14.27708","14.02966","14.11582","13.92715","14.07227","14.12968","14.24276","14.11409","14.16683","14.17599","13.99233","14.46453","14.18705","14.01270","14.26716","14.10134","13.74503","14.07319","14.08933","13.75986","14.31118","14.17025","14.01195","14.10583","13.96786","13.92697","14.05177","14.10435","13.82611","14.02592","14.05015","14.00538","14.17772","14.13240","13.99129","14.22530","13.85558","14.07143","14.04998","14.00284","14.16637","14.09708","14.11902","13.94217","14.15699","14.30452","14.29428","14.21991","14.26294","13.87584","13.88041","13.93017","14.04766","14.07481","13.98871","14.09041","13.95717","14.10962","14.01604","13.63620","14.12794","14.24149","14.06312","14.07038","14.08407","13.99253","14.16002","13.83387","14.22638","13.86441","14.27850","14.20091","13.99671","14.11499","13.97403","14.16933","14.21552","14.22426","14.30230","14.03074","14.13587","14.14861","13.91204","13.82945","14.00717","13.97349","13.96599","13.95928","14.00039","13.77209","14.02680","14.09979","13.72710","14.06509","13.96014","13.92605","14.09629","14.03726","14.03346","14.44592","14.22402","14.23310","14.07598","14.36070","14.03024","13.99925"
"3075","13.60164","13.29313","13.46105","13.76538","13.74396","13.88574","14.02491","13.60462","13.55692","13.57930","13.36120","13.50865","13.51358","13.52633","13.70052","13.70328","13.61549","13.95904","13.97157","13.60975","13.56574","13.60418","13.61882","13.90289","13.56037","13.77993","13.76889","13.99330","13.94631","13.90906","13.65136","13.63471","13.70262","13.64205","13.46218","13.81732","13.62863","13.37710","13.94045","13.94616","13.72608","13.52279","13.77078","13.45120","14.02531","13.70861","13.51982","13.50234","13.77374","13.80752","13.63245","13.46751","13.48389","13.27149","13.52896","13.85215","13.61111","13.79449","13.72651","13.67392","13.99169","13.67287","13.58385","13.47739","13.58281","13.78349","13.77131","14.04285","13.83285","13.61354","13.91061","13.76942","13.64221","13.75155","13.81367","13.87294","13.77415","13.68568","13.81818","13.56756","13.59915","13.71698","13.91156","13.62046","13.95805","13.50045","13.53864","13.56747","13.71273","13.68114","13.59027","13.70766","13.69012","13.93388","13.67247","13.88228","13.81367","13.91144","13.56212","13.69347","13.53226","13.72050","13.75163","13.81883","13.94624","13.73623","13.86261","13.76842","13.76472","13.85183","13.73755","13.46820","13.82068","13.92203","13.91936","13.72657","13.62984","14.05158","13.70323","13.70057","13.68170","13.70895","13.73377","13.56896","13.59729","13.73516","13.57787","13.50485","13.77835","13.56592","13.71583","14.02314","13.89539","13.70744","13.77853","13.24308","13.62393","13.58162","13.69521","13.71227","13.72451","13.79991","13.44605","13.79101","13.56075","13.77853","13.70855","14.02142","13.71656","13.44842","13.65680","13.66896","13.75741","13.79479","13.92530","13.68442","13.51791","13.80815","13.85102","13.33401","13.93211","13.71498","13.90645","13.86805","13.74585","13.51906","13.93785","13.73322","13.63889","13.62547","13.79364","13.34996","13.63939","13.78089","13.90552","13.80154","13.58744","14.09471","13.67592","13.50223","13.82476","13.69139","13.45308","13.54368","13.42690","13.56597","13.90871","13.83843","13.60175","13.40325","13.80312","13.51763","13.52144","13.56743","13.51529","13.82527","13.68927","13.71059","13.85521","13.83074","13.59235","13.65170","13.34642","14.05658","13.51565","13.43503","13.88295","13.84835","14.01964","13.69004","13.81010","13.67884","13.47514","13.85574","13.67785","13.45891","13.31310","13.79801","13.76119","13.43793","13.93620","13.61326","13.62021","13.86427","13.24723","13.81796","13.35485","13.39735","13.41193","13.79636","13.55869","13.43419","13.95047","13.62149","13.44570","13.98343","13.76855","13.64899","13.50478","13.72415","13.57660","13.76705","13.74705","13.86998","13.69562","13.55304"
"3240","13.80323","14.31360","14.36069","13.63502","15.05507","12.91360","14.50480","14.49710","15.17621","14.51700","14.10386","14.69044","14.38490","15.01176","14.75723","15.56233","14.10935","13.95070","14.82437","15.00850","15.05112","14.32726","14.63333","14.99333","14.75766","14.85592","14.98316","15.28386","14.57792","14.93342","14.75583","14.80078","14.90498","14.16004","14.41489","13.41405","14.30868","14.49578","13.19243","12.93010","12.68585","14.41096","14.42007","14.80432","12.91927","13.81877","14.82411","14.49280","15.13234","14.49165","14.71397","15.06738","13.75061","14.15707","15.10129","14.68583","14.35972","14.65217","14.69349","14.44875","15.00464","14.50594","14.62648","14.74876","14.33219","15.37361","14.83500","14.75870","14.52149","14.02404","14.45060","14.99472","14.72661","14.77925","13.76280","14.02551","14.69367","14.74860","14.65961","14.89329","14.41492","14.65847","14.78995","15.50448","15.27172","14.49158","14.98405","14.51783","15.33765","15.14914","14.73601","14.86971","15.05150","14.48803","14.45495","14.70457","14.81765","15.04505","14.38172","14.72732","14.35892","15.03116","14.88414","14.60599","15.24134","14.72331","14.41703","14.25326","13.86613","13.13768","14.50230","14.34367","14.82058","14.61969","14.08296","14.21592","15.20308","14.49707","14.15035","14.55390","15.70692","14.49124","15.22221","14.72254","14.92154","14.40123","14.85678","14.63332","15.04322","14.34138","14.64066","14.14584","13.89940","14.58254","14.39394","14.70500","13.48937","14.71344","14.87053","14.71424","14.64693","14.40836","14.76277","14.22656","14.84941","14.76572","14.59318","14.77428","14.28264","14.52812","14.43736","14.77506","15.36839","14.76317","14.81441","14.58544","14.11383","14.64224","14.89900","13.88190","14.44986","14.70415","13.10324","14.46330","14.66669","14.27012","13.79039","14.34045","14.37184","14.35332","14.80991","14.93730","14.76052","15.01267","14.91426","14.69668","14.43105","14.93532","15.11775","15.42255","14.57449","14.97161","14.60363","14.58542","14.49259","14.99740","14.25145","14.39519","14.89950","15.27261","13.51146","14.21248","15.11235","14.55888","14.93677","14.96025","14.05677","14.62861","14.17690","14.45319","14.47956","14.86257","14.68342","14.51620","14.67153","14.54716","14.48300","13.26897","14.69662","12.89142","14.80210","14.43427","14.54633","15.21063","14.35186","15.20423","14.51099","14.50132","14.64783","14.63589","14.32583","14.80140","14.42507","12.53394","14.80602","15.42248","14.44390","14.39855","13.64475","14.09231","14.77476","14.48030","12.85671","14.53508","15.09553","14.34057","14.35916","14.36586","14.17485","14.68990","14.66121","14.86327","14.96812","15.06381","14.55896","14.67403"
"3250","14.13755","14.28519","13.97846","13.28101","14.62449","13.52896","14.00209","14.01927","14.56285","14.38789","13.93873","14.84145","14.33875","14.57069","14.71109","15.12045","14.20321","13.71154","14.42894","14.96983","14.34955","14.30762","14.16479","14.79301","14.36831","14.36642","14.48408","14.59621","14.26419","14.53871","14.61666","14.30099","14.54450","13.80891","14.12470","13.88449","13.75856","14.16351","13.50136","13.59092","13.34687","14.09895","14.11437","14.50181","13.72907","13.60909","14.61586","14.18590","14.65267","14.22665","14.42855","14.35124","13.85164","14.00824","14.23392","14.52991","13.90719","14.21498","14.43119","14.07024","14.50639","14.12970","14.17813","14.31192","14.29216","14.74446","14.33557","14.26123","14.17784","14.18375","13.72252","14.74999","14.45031","14.36607","13.36737","13.99695","14.22473","14.44658","14.53895","14.44254","14.37260","14.18587","14.18686","14.90177","14.81711","14.55297","14.94956","14.13622","14.63625","14.69936","14.35708","14.38133","14.88848","14.22073","14.28342","14.29787","14.44496","14.45212","14.34603","14.33107","14.02469","14.65838","14.57209","14.29368","14.73535","14.59650","14.30817","14.07271","13.63046","13.50857","14.08197","14.26744","14.42047","14.28228","13.77332","13.79971","14.59766","14.33604","13.87727","14.47892","15.05543","14.14155","14.67863","14.45649","14.42524","13.80755","14.47573","13.88413","14.35488","14.07283","14.05915","13.69861","13.59691","14.32824","14.11662","14.23593","13.54743","14.28716","14.53459","14.21766","14.25254","14.26463","14.70434","13.89404","14.52275","14.58906","14.64265","14.40816","13.88156","14.37615","13.99501","14.60789","14.55602","14.38782","14.52531","14.55938","13.75426","14.19049","14.55905","13.71452","14.48449","14.26599","13.39330","14.12768","14.42813","14.17552","13.41499","14.09192","13.91702","13.98157","14.48296","14.66510","14.80322","14.65029","14.56129","14.66508","14.19780","14.53226","15.05444","14.83453","14.25058","14.90391","14.25125","14.35134","14.20795","14.38692","14.02661","14.24062","14.57502","14.69598","13.95352","14.15165","15.00322","14.10888","14.60667","14.76627","14.17702","14.49114","13.97884","13.95698","14.30418","14.29656","14.41304","13.95912","14.29314","14.33752","14.39802","13.39294","14.38748","13.61720","14.69547","14.16728","14.35465","14.70102","13.98531","14.78716","14.58048","14.22733","14.34800","14.29575","14.08041","14.55311","14.03446","13.62269","14.96685","14.84586","14.05127","14.14399","13.89292","14.22556","14.62621","14.59651","13.52261","14.35375","14.51831","13.98695","13.96264","13.91045","14.01466","14.32103","14.36542","14.43455","14.65232","14.32992","14.34154","14.45205"
"3263","14.44415","14.43980","14.53579","14.58279","14.34752","14.63265","14.64604","14.35269","14.77143","14.43346","14.31411","14.43589","14.78688","14.66510","14.34953","14.58168","14.46387","14.80060","14.58740","14.50109","14.70841","14.45235","14.57195","14.36260","14.72944","14.62615","14.71585","14.68270","14.62729","14.76402","14.59654","14.45528","14.53100","14.25556","14.40648","14.81532","14.60828","14.80458","14.65604","14.75926","14.52242","14.61838","14.62576","14.43063","14.43048","14.68305","14.46020","14.50420","14.61512","14.58471","14.38777","14.59778","14.72158","14.48553","14.56891","14.45583","14.85265","14.59420","14.64306","14.49824","14.67608","14.38847","14.73847","14.51591","14.32318","14.68565","14.56254","14.66775","14.83736","14.50289","14.66680","14.58359","14.53534","14.50942","14.74042","14.67303","14.66874","14.65600","14.60895","14.65188","14.72343","14.36527","14.60087","14.58289","14.79039","14.48500","14.53133","14.55794","14.63397","14.58301","14.43724","14.54602","14.52887","14.59129","14.47926","14.35343","14.39480","14.65406","14.32158","14.57098","14.47963","14.62356","14.53075","14.69473","14.50757","14.56316","14.29543","14.42217","14.66657","14.57686","14.63857","14.54334","14.63554","14.72480","14.78058","14.52353","14.68431","14.58637","14.62476","14.69509","14.80165","14.60232","14.69361","14.39322","14.45857","14.48049","14.49754","14.27386","14.44040","14.51500","14.61709","14.68669","14.48683","14.67579","14.75139","14.65739","14.64426","14.55924","14.60164","14.45355","14.68862","14.49019","14.32530","14.37678","14.68002","14.42945","14.42224","14.80100","14.45422","14.43113","14.78975","14.36448","14.47188","14.45087","14.68745","14.29908","14.56320","14.37404","14.74918","14.56108","14.74924","14.43655","14.67110","14.45591","14.63521","14.74147","14.64833","14.46779","14.46137","14.44389","14.57928","14.62164","14.44288","14.47248","14.52102","14.48025","14.51493","14.42111","14.51575","14.36260","14.58245","14.42882","14.80613","14.44606","14.57009","14.65988","14.56130","14.78527","14.68109","14.24576","14.76624","14.70759","14.52367","14.49417","14.71065","14.54233","14.48017","14.74725","14.69857","14.91216","14.66414","14.64380","14.55812","14.94555","14.49628","14.71330","14.71900","14.61972","14.54349","14.42858","14.57980","14.80053","14.56266","14.66521","14.51623","14.61947","14.42036","14.62738","14.84571","14.46871","14.62601","14.39205","14.44444","14.62976","13.55398","14.47842","14.40461","14.47820","14.47137","14.37767","14.67196","14.34777","14.17304","14.63705","14.20225","14.66389","14.56951","14.49178","14.65758","14.55613","14.77720","14.40105","14.65372","14.81093","14.56718","14.54924"
"3273","13.58267","13.35237","13.26642","13.78334","13.26068","13.63819","13.46669","13.24122","13.03689","13.21797","13.64744","13.24098","13.27407","13.55276","13.43934","13.29598","13.67204","13.53965","13.79711","13.26342","13.34221","13.21544","13.68591","13.60575","13.23702","13.33061","13.84471","13.40974","13.36476","13.35955","13.46197","13.69576","13.22870","13.42052","13.41670","13.66443","13.52890","13.22104","14.07780","14.21232","13.62167","13.36407","13.51734","13.37253","13.56046","13.58277","13.47703","13.25416","13.20592","13.50664","13.97294","13.13508","13.48265","13.24469","13.06588","13.15938","13.52164","13.56425","13.28491","12.80623","13.31694","13.95636","13.59331","13.09984","13.30673","13.15283","13.79967","13.45412","13.26588","13.22019","13.50171","13.16622","13.64492","13.10052","13.35021","14.06856","13.91512","13.32458","13.24218","13.17818","13.69988","13.19531","13.59221","13.51912","13.49729","13.33726","13.42569","12.90163","13.62566","13.10627","13.45928","13.28465","13.04786","13.03810","13.37467","13.30203","13.50134","13.23089","13.26009","13.29508","13.25259","13.43938","13.50956","13.24560","13.52957","13.13314","13.07451","13.66141","13.33018","13.48842","13.77486","13.67335","13.68315","13.36493","13.53636","13.56982","13.45914","13.62337","13.15069","13.62510","13.22900","13.60620","13.24184","12.95102","13.31818","13.50137","13.44063","13.51795","13.40288","13.50346","13.24517","13.66900","14.06741","13.63593","13.42762","13.36638","13.97232","13.37641","13.52569","13.20225","13.76071","13.75387","13.18123","13.31591","13.25879","13.32387","13.24999","13.54455","13.61294","13.17858","13.72375","13.15999","13.40674","13.38127","13.47394","13.18954","13.69098","13.50984","13.53863","13.28793","13.55185","13.13874","13.90768","13.30467","13.43597","13.29863","14.10549","13.02186","13.48073","13.69460","13.13340","13.23259","13.47566","13.16011","13.40648","13.44215","13.75222","13.48832","13.31380","13.02641","13.64228","13.70060","13.50959","13.80600","13.28937","13.40910","13.58209","13.31663","13.50807","13.25374","13.08917","14.01163","13.11343","12.79082","13.17666","13.31545","13.38439","13.26392","13.91510","13.74517","13.66000","13.21228","13.73595","13.16921","12.98142","13.35468","13.87760","13.33854","13.58885","13.60947","13.37155","13.90348","13.39780","13.24148","13.62453","13.08213","13.15456","13.38558","13.80739","13.45834","13.85652","13.32341","13.33807","13.29883","13.15355","13.41415","13.47104","13.63967","13.83868","13.76243","13.75183","13.62285","13.90400","13.17614","13.19539","13.80345","13.51314","13.27493","13.25336","13.31378","13.43129","13.55635","13.40427","13.27456","13.27399","13.03623"
"3426","12.93102","13.45764","12.99959","13.87371","13.29563","13.36133","13.79472","12.30759","13.33678","12.46373","12.73539","12.90962","13.52383","13.68661","12.68187","13.39619","13.56817","13.56830","13.74265","13.36202","13.00941","13.54986","13.33792","13.42227","13.74211","13.91060","13.82262","13.69428","13.79575","13.59929","13.43018","13.14356","13.11159","13.94271","13.64879","13.68805","13.93320","14.01023","13.86226","13.92022","13.41274","13.30865","13.93836","13.11484","14.08312","13.52887","12.96387","13.70058","13.62407","13.19858","13.21188","12.90429","13.56175","13.49581","13.53798","13.48127","13.44904","13.15975","13.62074","13.11201","13.64316","13.39175","12.97540","13.29375","13.12229","13.57602","13.60262","13.85322","13.73186","13.34556","13.16645","13.32515","13.14493","13.31607","13.69635","13.77565","13.67323","13.39524","13.33484","13.50221","13.87083","13.38113","13.72560","13.64907","13.40152","13.46787","13.11416","13.77927","13.79402","13.48531","13.07636","13.42750","12.84825","13.71015","13.17862","13.41513","13.34183","13.50020","13.78502","13.54202","13.16159","13.48775","13.83841","13.75130","12.71200","13.10065","12.86334","13.23957","13.51068","13.85914","13.69247","13.24222","13.35060","13.58617","13.66606","13.80557","13.50634","14.14461","13.67059","13.87540","13.78265","13.78880","13.53824","13.45449","13.36026","13.08263","13.41204","13.68382","13.30932","13.68660","13.08617","13.73966","13.21584","13.84159","13.56529","12.90129","13.44749","13.43891","13.45615","13.09684","13.75401","13.66638","12.48865","13.32486","13.08780","13.03672","13.57559","13.83336","13.62389","13.23594","13.87836","13.21052","13.32314","13.74624","13.66977","12.14905","13.73135","13.68554","13.09610","13.54659","13.39891","13.39021","13.73869","13.51824","13.31754","13.40387","13.73530","13.57621","12.69246","12.97285","13.49065","13.55610","12.87549","13.41584","12.80575","13.16086","13.08497","13.62765","14.13220","13.35712","13.41974","12.12423","13.65009","13.70320","13.34506","13.65063","13.80665","13.74113","13.57303","12.62049","13.58605","13.54324","13.17876","13.52795","13.54355","13.15276","13.71910","13.62077","13.63791","13.42990","13.68122","13.27078","12.74080","13.85156","13.24884","13.09373","13.58363","13.37740","13.43985","13.03206","13.42766","13.97252","13.00223","13.55737","13.66677","13.31221","13.29957","13.49215","13.86889","12.75370","13.91896","12.93471","13.18543","13.45758","12.84016","13.48647","13.04046","13.20496","13.34258","13.29390","13.10959","13.03914","13.21825","13.97941","13.12768","13.92318","13.34662","13.30180","13.44292","13.23861","13.77467","13.39285","13.39174","13.73283","13.77058","13.14739"
